,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__alpha,param_mlpclassifier__hidden_layer_sizes,param_mlpclassifier__max_iter,param_mlpclassifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
28,264.7809316635132,42.623440463818916,0.025384902954101562,0.005586148763486287,1e-06,"(3, 3)",100000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (3, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.14666666666666667,0.12666666666666668,0.13333333333333333,0.08666666666666667,0.07333333333333333,0.11333333333333333,0.0282842712474619,1
25,274.97718062400816,32.85023146212121,0.022616052627563478,0.002621783655235767,1e-06,"(3, 3)",10000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (3, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.14666666666666667,0.12666666666666668,0.13333333333333333,0.08666666666666667,0.07333333333333333,0.11333333333333333,0.0282842712474619,1
79,269.06763525009154,39.009384198171816,0.02413830757141113,0.0037353199004418122,1e-05,"(3, 3)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (3, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.13333333333333333,0.14,0.14666666666666667,0.06666666666666667,0.07333333333333333,0.11199999999999999,0.03461534662865912,3
82,271.00597138404845,42.323897449910476,0.021474218368530272,0.002378492259578891,1e-05,"(3, 3)",100000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (3, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.13333333333333333,0.14,0.14666666666666667,0.06666666666666667,0.07333333333333333,0.11199999999999999,0.03461534662865912,3
156,447.79441423416137,140.69038049291618,0.022156333923339842,0.004136008051251832,0.0001,"(5, 5)",10000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.14666666666666667,0.09333333333333334,0.1,0.10666666666666667,0.1,0.10933333333333332,0.019136933459209762,5
133,261.78844685554503,18.986844004211406,0.020281219482421876,0.0029202981085697578,0.0001,"(3, 3)",10000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.12666666666666668,0.14,0.13333333333333333,0.06666666666666667,0.07333333333333333,0.10800000000000001,0.031382939455839524,6
136,252.84451236724854,20.189710109288217,0.022577476501464844,0.0034343040500485196,0.0001,"(3, 3)",100000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.12666666666666668,0.14,0.13333333333333333,0.06666666666666667,0.07333333333333333,0.10800000000000001,0.031382939455839524,6
159,395.4665949821472,130.73602098894162,0.015302944183349609,0.004654061576006514,0.0001,"(5, 5)",100000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.14666666666666667,0.09333333333333334,0.1,0.08,0.1,0.10400000000000001,0.022548712700383684,8
106,306.9490050792694,49.315103237664516,0.031858301162719725,0.006928974729210455,1e-05,"(5, 5)",100000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.08,0.12666666666666668,0.13333333333333333,0.1,0.07333333333333333,0.10266666666666666,0.024073960113690385,9
103,290.62647161483767,48.258793211803805,0.02275424003601074,0.0016130100765024632,1e-05,"(5, 5)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.08,0.12666666666666668,0.13333333333333333,0.1,0.07333333333333333,0.10266666666666666,0.024073960113690385,9
48,538.6582449436188,123.53628233814985,0.025163888931274414,0.0024335887151976827,1e-06,"(5, 5)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.15333333333333332,0.10666666666666667,0.08,0.11333333333333333,0.05333333333333334,0.10133333333333334,0.03357247549870445,11
51,586.3669014453887,167.36007372970803,0.0354825496673584,0.008752955485370369,1e-06,"(5, 5)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.15333333333333332,0.10666666666666667,0.08,0.11333333333333333,0.05333333333333334,0.10133333333333334,0.03357247549870445,11
98,53.8800651550293,6.138402724643997,0.021970844268798827,0.0010705831405764562,1e-05,"(5, 3)",10000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.12666666666666668,0.09333333333333334,0.10666666666666667,0.08,0.09333333333333334,0.10000000000000002,0.015776212754932312,13
101,57.90863275527954,8.260783003227376,0.022324562072753906,0.0013516102965081894,1e-05,"(5, 3)",100000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.12666666666666668,0.09333333333333334,0.10666666666666667,0.08,0.09333333333333334,0.10000000000000002,0.015776212754932312,13
97,280.04206376075746,45.77537298679515,0.021956634521484376,0.002728306465210026,1e-05,"(5, 3)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.07333333333333333,0.10666666666666667,0.07333333333333333,0.11333333333333333,0.13333333333333333,0.1,0.023475755815545344,15
100,270.22741093635557,37.470055471876755,0.023420143127441406,0.002446940617229002,1e-05,"(5, 3)",100000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.07333333333333333,0.10666666666666667,0.07333333333333333,0.11333333333333333,0.13333333333333333,0.1,0.023475755815545344,15
44,57.86091861724854,14.225610750751605,0.025953340530395507,0.006116956123079024,1e-06,"(5, 3)",10000,adam,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.12,0.08,0.10666666666666667,0.10666666666666667,0.08,0.09866666666666668,0.016,17
47,59.870493268966676,11.598295748699421,0.025176143646240233,0.00258559932677667,1e-06,"(5, 3)",100000,adam,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.12,0.08,0.10666666666666667,0.10666666666666667,0.08,0.09866666666666668,0.016,17
46,303.29389057159426,43.645191068807385,0.02718963623046875,0.0036797170382767016,1e-06,"(5, 3)",100000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.07333333333333333,0.1,0.07333333333333333,0.11333333333333333,0.13333333333333333,0.09866666666666665,0.023247461032216924,19
43,293.8696339607239,47.65747303941901,0.02803492546081543,0.0034524795218684357,1e-06,"(5, 3)",10000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.07333333333333333,0.1,0.07333333333333333,0.11333333333333333,0.13333333333333333,0.09866666666666665,0.023247461032216924,19
154,277.0007715702057,49.617818693844775,0.022507762908935545,0.0019461144054595707,0.0001,"(5, 3)",100000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.09333333333333334,0.08,0.07333333333333333,0.11333333333333333,0.13333333333333333,0.09866666666666665,0.022070593809662465,19
151,280.47706031799316,53.55216491114149,0.022601318359375,0.001990483290409704,0.0001,"(5, 3)",10000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.09333333333333334,0.08,0.07333333333333333,0.11333333333333333,0.13333333333333333,0.09866666666666665,0.022070593809662465,19
152,54.082805681228635,6.027627170954479,0.02457456588745117,0.004100885311050762,0.0001,"(5, 3)",10000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.11333333333333333,0.08,0.10666666666666667,0.07333333333333333,0.11333333333333333,0.09733333333333333,0.017178798302300166,23
155,52.335300493240354,6.185016659863698,0.022998237609863283,0.001766918404608857,0.0001,"(5, 3)",100000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.11333333333333333,0.08,0.10666666666666667,0.07333333333333333,0.11333333333333333,0.09733333333333333,0.017178798302300166,23
105,580.2467214107513,255.16015789878244,0.02829451560974121,0.006007719865547544,1e-05,"(5, 5)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.08,0.1,0.10666666666666667,0.09333333333333334,0.09333333333333334,0.09466666666666666,0.008844332774281068,25
102,503.62231674194334,160.73972076277084,0.0279294490814209,0.007530721957410348,1e-05,"(5, 5)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.08,0.1,0.10666666666666667,0.09333333333333334,0.09333333333333334,0.09466666666666666,0.008844332774281068,25
160,253.97774748802186,22.198190566303985,0.016942405700683595,0.0027163745495159997,0.0001,"(5, 5)",100000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.07333333333333333,0.12,0.1,0.1,0.06666666666666667,0.092,0.01950498511777039,27
157,288.3379196643829,16.014257290852626,0.022976779937744142,0.0017585666642311423,0.0001,"(5, 5)",10000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.07333333333333333,0.12,0.1,0.1,0.06666666666666667,0.092,0.01950498511777039,27
29,48.73133635520935,8.254380333298357,0.01937589645385742,0.002615030321673524,1e-06,"(3, 3)",100000,adam,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (3, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.09333333333333334,0.1,0.08666666666666667,0.1,0.06666666666666667,0.08933333333333333,0.01236482466066094,29
134,49.23846430778504,4.870199041839095,0.022223520278930663,0.0022386356452288496,0.0001,"(3, 3)",10000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.1,0.08666666666666667,0.07333333333333333,0.12,0.06666666666666667,0.08933333333333333,0.019136933459209766,29
26,61.40994124412536,7.90327574269453,0.02197413444519043,0.0020727124244422305,1e-06,"(3, 3)",10000,adam,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (3, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.09333333333333334,0.1,0.08666666666666667,0.1,0.06666666666666667,0.08933333333333333,0.01236482466066094,29
137,46.07913641929626,2.550795800806821,0.017685079574584962,0.0013366103090967367,0.0001,"(3, 3)",100000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.1,0.08666666666666667,0.07333333333333333,0.12,0.06666666666666667,0.08933333333333333,0.019136933459209766,29
50,69.03545408248901,9.049351274130307,0.02233576774597168,0.002117446055953772,1e-06,"(5, 5)",10000,adam,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.1,0.12666666666666668,0.05333333333333334,0.08666666666666667,0.07333333333333333,0.08800000000000001,0.024729649321321878,33
53,70.85928182601928,9.774872234839105,0.03203768730163574,0.01740727077727697,1e-06,"(5, 5)",100000,adam,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.1,0.12666666666666668,0.05333333333333334,0.08666666666666667,0.07333333333333333,0.08800000000000001,0.024729649321321878,33
49,349.6060529232025,45.75177555901464,0.028919696807861328,0.005936747668377883,1e-06,"(5, 5)",10000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.07333333333333333,0.10666666666666667,0.1,0.09333333333333334,0.06,0.08666666666666667,0.017384539747207065,35
52,412.07628712654116,76.72953894006585,0.043024539947509766,0.005480485959663779,1e-06,"(5, 5)",100000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.07333333333333333,0.10666666666666667,0.1,0.09333333333333334,0.06,0.08666666666666667,0.017384539747207065,35
158,62.111431741714476,9.734983845880938,0.021682071685791015,0.0014741068986523827,0.0001,"(5, 5)",10000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.1,0.12,0.06,0.08,0.06666666666666667,0.08533333333333334,0.022070593809662465,37
161,63.25770463943481,8.684272034766515,0.022150182723999025,0.005921270663808996,0.0001,"(5, 5)",100000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.1,0.12,0.06,0.08,0.06666666666666667,0.08533333333333334,0.022070593809662465,37
87,661.4098984241485,241.94276688240424,0.02023348808288574,0.002693366620284124,1e-05,"(3, 5)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (3, 5), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.08,0.05333333333333334,0.09333333333333334,0.12,0.08,0.08533333333333334,0.02166410241236256,37
107,64.14225020408631,3.9793468891447867,0.0237886905670166,0.003731662209588864,1e-05,"(5, 5)",100000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.09333333333333334,0.09333333333333334,0.08,0.08666666666666667,0.07333333333333333,0.08533333333333333,0.007774602526460402,40
104,63.701281499862674,3.2388721942390455,0.022816228866577148,0.0023438892431405746,1e-05,"(5, 5)",10000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (5, 5), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.09333333333333334,0.09333333333333334,0.08,0.08666666666666667,0.07333333333333333,0.08533333333333333,0.007774602526460402,40
33,752.0244116783142,255.14337333705302,0.02344350814819336,0.002734601438381986,1e-06,"(3, 5)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (3, 5), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.06666666666666667,0.06666666666666667,0.09333333333333334,0.12666666666666668,0.06666666666666667,0.084,0.023701851779508242,42
83,58.29934558868408,7.705577954164821,0.02264113426208496,0.002069017526000763,1e-05,"(3, 3)",100000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (3, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.12,0.09333333333333334,0.06,0.08666666666666667,0.05333333333333334,0.08266666666666667,0.024073960113690382,43
84,581.855923461914,100.52579913188062,0.022175359725952148,0.0038738968751902943,1e-05,"(3, 5)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (3, 5), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.08,0.04,0.09333333333333334,0.12,0.08,0.08266666666666667,0.025854292572887086,43
80,58.37108964920044,3.8066013434329458,0.0221435546875,0.0009657029739378361,1e-05,"(3, 3)",10000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (3, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.12,0.09333333333333334,0.06,0.08666666666666667,0.05333333333333334,0.08266666666666667,0.024073960113690382,43
30,658.9780988216401,132.06131835262337,0.023691654205322266,0.0035906926204458504,1e-06,"(3, 5)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (3, 5), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.06666666666666667,0.05333333333333334,0.09333333333333334,0.12666666666666668,0.06666666666666667,0.08133333333333333,0.026127890589687234,46
141,521.525314950943,203.47710933146578,0.020290946960449217,0.000804444235354773,0.0001,"(3, 5)",100000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 5), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.08,0.04666666666666667,0.08,0.1,0.09333333333333334,0.07999999999999999,0.01837873166945363,47
138,518.1816722869874,197.3231646553152,0.020189237594604493,0.002237792614547452,0.0001,"(3, 5)",10000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 5), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.08,0.04666666666666667,0.08,0.1,0.09333333333333334,0.07999999999999999,0.01837873166945363,47
140,64.15260558128357,13.095252671422388,0.01915907859802246,0.0015714513240697994,0.0001,"(3, 5)",10000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 5), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.04666666666666667,0.1,0.08666666666666667,0.08,0.08,0.07866666666666668,0.01758787461103056,49
143,64.34919395446778,6.999078118545657,0.022295761108398437,0.0027835846674251143,0.0001,"(3, 5)",100000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 5), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.04666666666666667,0.1,0.08666666666666667,0.08,0.08,0.07866666666666668,0.01758787461103056,49
45,761.0927656650543,335.74488727298353,0.029329347610473632,0.0044822473510246,1e-06,"(5, 3)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.11333333333333333,0.09333333333333334,0.04666666666666667,0.05333333333333334,0.08666666666666667,0.07866666666666668,0.025086516962969038,49
42,618.7700404644013,204.59523928790765,0.024901103973388673,0.004439836703745041,1e-06,"(5, 3)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.11333333333333333,0.1,0.04,0.05333333333333334,0.08666666666666667,0.07866666666666666,0.02777688887466621,52
153,536.9272095680237,169.39379803678395,0.023682069778442384,0.0019217586571522445,0.0001,"(5, 3)",100000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.09333333333333334,0.1,0.02666666666666667,0.06,0.1,0.076,0.028782710859897205,53
150,560.5874855995178,177.58110296882228,0.02317509651184082,0.0035487027692205912,0.0001,"(5, 3)",10000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.09333333333333334,0.1,0.02666666666666667,0.06,0.1,0.076,0.028782710859897205,53
99,591.3047269821167,359.1346909876469,0.024012947082519533,0.006615485758660467,1e-05,"(5, 3)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (5, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.10666666666666667,0.1,0.04,0.04666666666666667,0.07333333333333333,0.07333333333333333,0.026997942308422118,55
142,294.5337564945221,54.85764822051737,0.021646595001220702,0.002848549891486718,0.0001,"(3, 5)",100000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 5), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.1,0.07333333333333333,0.06666666666666667,0.05333333333333334,0.06,0.07066666666666667,0.016110727964792765,56
24,528.2022863388062,293.13968051692206,0.03113899230957031,0.013092713232298757,1e-06,"(3, 3)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (3, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.12666666666666668,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.06,0.07066666666666667,0.030579586509812576,56
